Name,Rating,Date,Review
Kalya Elya,4/5,2 tahun lalu di,"Servisnya sangat memuaskan, akan tetapi tidak disediakan shampoo, handuk juga sudah kumal, dan beberapa kamar berbau tidak sesap. Semoga kedepannya disediakan pengharum ruangan dan shampoo."
musdhalifah 14,5/5,setahun lalu di,Enak sih cuma pas disana sempet macet kran kamar mandinya.. tingkatin lagi ya servicenya biar pelanggan gak kecewa
Aris Moenandar,3/5,9 bulan lalu di,Harga terjangkau dekat kampus ugm uny dll serta jalan yang legendaris apalagi dengan tugu yang sangat dekat sekali
A_muhammad ihsanudin,4/5,10 bulan lalu di,"untuk tempatnya bersih dan mudah dijangkau dari pusat kota jogja, dr fasilitasnya jg cukup lengkap huhuu"
Jeff Stons,2/5,setahun lalu di,"Akibat liat rating,tak sesuai ekspektasi. Kamar penataan seadanya. Dari segi harga banyak hotel yg lebih baik lg dibanding harga yg ditawarkan. Wastafel mampet,showernya sdh tdk normal shg tdk nyaman digunakan,blm lg kran air panasnya tdk …"
Yohanes Purnomo,2/5,setahun lalu di,"Kamar kurang terawat, ada bekas rambut di kamar mandi, jet shower rusak. Lantai kurang bersih dan berdebu."
Agus Tri Wibowo,5/5,2 tahun lalu di,"Hotel dengan budget murah tapi kualitas mewah, lokasi sangat strategis dan akses kemanapun sangat mudah, banyak tempat makan juga di sekitar hotel, parkiran luas ada satpam yg stand by, resepsionisnya ramah. Kondisi room juga sangat terjaga …"
Artificial_ Outdoor_Furniture,5/5,setahun lalu di,"Ace Hardware memberikan penawaran produk² untuk keperluan hotel, kos, rumah, instansi. …"
mulyani sandi,4/5,5 tahun lalu di,"Tempat cukup bagus, pelayan & resepsionis ramah hanya sayang masih banyak kekurangannya antara lain: di kamar hanya ada 2 gelas kosong & air mineral tanpa ada teko listrik, teh, kopi dll. Selain itu perlengkapan mandi hanya handuk & 1 buah …"
Bagas Purwo,5/5,2 tahun lalu di,"Menurut saya disini tempatnya nyaman. Kamar tidur, kamar mandi juga bersih. Lokasi hotel juga tidak jauh dari tugu jogja, untuk kuliner disekitarnya juga banyak penjual makanan di pagi and malam hari."
Candany Wardany,4/5,3 tahun lalu di,"Pelayanan ramah, lokasi cukup strategis tidak terlalu jauh dengan pusat kota. Kamar luas dan cukup bersih. Hanya saja saat disana entah di ruangan sebelah atau diatas saya cukup berisik seperti orang menggeser geser perabotan. Tapi untuk keseluruhan sangat baik dan recommended untuk yang ingin menginap di Jogja cukup lama."
desy wnd,3/5,4 tahun lalu di,"hotelnya biasa aja, tapi lokasinya strategis dekat pal tugu, kamar lumayan lega bisa untuk sholat kalau kasurnya yang 1 bed. interior kamar sangat sangat minimalis karena emang konsepnya juga minimalis sih. mushola ada di lantai 1, sangat …"
Anita Rahma,5/5,setahun lalu di,"Secara keseluruhan hotel dan pelayannya ok,tapi kalau lagi banyak rombongan,sudah dpt meja untuk sarapan."
Andreas Corsini W N,4/5,2 tahun lalu di,"Lumayan nyaman, tapi entah pengalaman sy nginap 3 malam, antara jam 1 sampai jam 3 dini hari ada suara2 orang geser dan banting perabot di kamar sebelah..cukup mengganggu."
Febry Ariansyah,1/5,setahun lalu di,"-Staff nya kurang helpful dan guiding, sepertinya kekurangan Staff,
-Seprei nya kotor banyak bercak, ada rambut juga, tolong untuk HK nya lebih teliti lagi atau jangan malas ganti sprei bisa fatal akibatnya complain …"
agus pramana,3/5,setahun lalu di,"Lokasi cukup strategis, harga lumayan hemat, kekurangan di aspek kebersihan & kerapian kiranya bisa ditingkatkan kembali."
Intan Devy Atikasari,3/5,5 tahun lalu di,"Pelayanannya baik, sangat ramah terhadap tamu. Tapi untuk masalah kamar hotel masih sangat kurang. Lorong masih gelap, penempatan tumpukan sprei masih berantakan di sudut lorong. Untuk kamar, bath kit tidak ada shampoo. Tidak ada kettle …"
Rosmida Siahaan,5/5,10 bulan lalu di,"Pelayanan baik, cepat, sopan dan ramah.. Recommended buat tempat next trip selanjutnya 🙏🙏 …"
Ophee Puspita,4/5,6 tahun lalu di,"Kebersihan kamar bagus. Pelayanan front desk pun ramah. Kami sampai jogya jam 8 pagi dan lgsg ke hotel, niat nya sih mau nitip koper trus kita tinggal jalan2. Kebetulan ada kamar available, front desk memberikan penawaran, klu ingin check …"
Anggie Ardina Pramashinta,3/5,setahun lalu di,"Sayang ngga dikasih shampo, kopi.. Ac kamar sempat tidak dingin, tp langsung dibetulkan oleh maintenance."
Al Abror,5/5,2 tahun lalu di,"Lokasi hotel ini strategis, dekat sekali dengan tugu Yogyakarta, bisa jalan kaki. Fasilitas hotelnya lengkap mulai dari flat-screen TV, wifi, kamar yang bersih, kamar mandi juga bersih, restoran juga oke, rekomendasi banget untuk staycation satu hingga beberapa hari."
lena yanika,5/5,2 tahun lalu di,"Sangat puass untuk liburan hotel yg murah, menginap di sini bersma teman sangat menyenangkan dan ada satu keluhan saja bagi saya adalah gangguan dari ruang sekitar seperti bunyi kamar mandinya haha kami tetap postive aja tidak memikirkan hal negative☺"
Yovan Riskianto,4/5,setahun lalu di,Tempat yang bagus untuk istirahat saat berkunjung ke yogyakarta akan tetapi saat musim liburan untuk servis makan paginya sudah habis sebelum waktunya
Stefanus Nicko,5/5,5 tahun lalu di,"Kamar hotel sangat nyaman. Tersedia lift dan area hotel ramah untuk pengguna kursi roda. Untuk masalah minum tersedia dispenser di depan lift setiap lantai, sehingga para tamu tidak perlu kesulitan mencari air minum pada malam hari. Para petugas hotel juga sangat ramah kepada pengunjung."
silvya oktavia,4/5,5 tahun lalu di,Hotel nya cukup memuaskan walau ada sedikit kekecewaan. Kamar bersih hanya saja sempat rusak pintu kamar mandinya (macet) dan kecewa nya itu menginap 3 malam tmpt sabun mandi tidak diisi ulang bahkan pas hr pertama isi tmtp sabun nya …
a tendi,4/5,2 tahun lalu di,"Lokasi dekat dengan Tugu Jogja, fasilitas kamar lumayan kumplit, pelayanannya baik dan sigap, terbukti saat diminta tolong untuk perubahan kamar karena satu lain hal, bener-bener di bantu sama pihak resepsionis nya.
Kamarnya gak begitu luas cuma kasurnya enak gak keras."
Ramizah Ramziyyah,5/5,2 tahun lalu di,"This hotel was comfortable and cozy! Saya menginap disini sewaktu study tour 2 tahun yang lalu. Dari kamar tidur, ada jendela yang bisa melihat view perkotaan. Untuk sarapan nya, mantap! Enak pisan euy, lengkap juga. Kalo ke jogja lagi, pengen nginep disini lagi, hehehe 😍😍😍 …"
Syifa,3/5,setahun lalu di,"Udah biasa pake citradream di Bandung jadi pas ke Jogja pilih citradream juga. Keseluruhan lumayan, cuma salah satu hal yang bikin jengkel adalah di kamar mandi ada cacing hitam kecil dan bergerombol!! Untung house keeping sigap ngebersihin pas dipanggil, tapi cacingnya muncul lagi meskipun ga sebanyak pas baru dateng."
a lisnanto gathi,3/5,4 tahun lalu di,"Budget hotel dengan letak yang strategis. Dekat dengan tugu dan tengah kota. Banyak kuliner dan spot wisata di dekat hotel. Ada parkiran di belakang hotel, tidak besar tapi lumayan. Fasilitasnya sesuai dengan harganya. Ada sarapan dan juga …"
Sharfina Nisa,5/5,2 tahun lalu di,Puas menginap disini harga terjangkau fasilitas baik. Kamar bersih dan nyaman. Dekat dengan monumen tugu aksesnya sangat mudah. Next akan kesini lagi
Melissa Lucinda,3/5,5 tahun lalu di,"Ac nya dingin, ga kedap suara jd agak kaget2 gitu karena sering ada suara gludak gluduk, kasur nya empuk, seprei agak ada aroma kecut2 gua bingung dah ini penampilannya sih bersih tp kok ada bau asem asem nya ye 😅 …"
Fajar Dinihari,4/5,4 tahun lalu di,"Kamarnya lumayan dgn harga yg cukup sesuai. Lokasi cukup strategis, dekat dgn tugu putih dan ada jajanan di depan dan sekitar hotel. Minusnya sarapan standar bgt, khas hotel bujet, dan lantai yg berdebu"
Shainy_17,5/5,3 tahun lalu di,"Kesini untuk TPA Bappenas

Sejauh pengalaman berada disini pelayanannya sangat baik, mulai dari petugas …"
Kusuma Nurkhayati,3/5,2 tahun lalu di,"Tempat strategis hanya pelayan nya kurang ramah juga fasilitas hotel tdk lengkap
Semoga di waktu yad pelayanan lbh ramah krn nilai jual nya terutama di pelayanan …"
Hilyah Kamilah,5/5,3 tahun lalu di,"Letak strategis, harga ekonomis.

Ke Tugu cukup jalan kaki, banyak jajanan, restoran, dan cafe di sekitar hotel. …"
Amalia Tri Wahyuni,4/5,5 tahun lalu di,"Hotel Citradream Yogya berlokasi di jalan AM Sangaji. Lokasinya strategis dan mudah diakses. Kamar bersih, AC dingin, pelayanan standar, air panas terkadang mati, dan menu sarapan tidak terlalu variatif. Di setiap lantai terdapat dispenser …"
Inke Inke,2/5,2 tahun lalu di,Jendela permanen tidak dapat dibuka karena non smooking room namun ruangan sangat pengap tidak ada sirkulasi dikarenakan oleh exhaust yang tidak berfungsi. Meskipun AC dibuat bersirkulasi dengan fan maksimal tetap saja pengap. …
Yudan,4/5,3 tahun lalu di,"Kamar lumayan luas, ada sandal dan sikat gigi, smoking room ada di lt 2, namun semua jendela tidak bisa dibuka, seandainya bisa dibuka jadi bintang 5 deh😎 …"
Irmina Erdiana,5/5,setahun lalu di,"Sesuai hargalah,....hotel budged, ac, pemanas air berjalan dengan baik, dekat tugu, banyak makanan enak."
glody s,5/5,2 tahun lalu di,"Awesome budget hotel near Tugu, Malioboro n UGM. Parking lot cukup banyak n terlindungi dari panas dan hujan. Tempat tidur cukup nyaman, channel TV cukup banyak. Kamar mandi bersih dan tekanan air panas kuat"
f alfi,4/5,3 tahun lalu di,"Hotel minimalis namun sangat nyaman untuk menginap

Pengalaman menginap 2 malam berdua dengan fasilitas sarapan cukup memuaskan …"
Ratu Soffy,3/5,2 tahun lalu di,"sebenernya staff semua ramah, dan pas komplen lamu kamar mandi pun langsung dikerjakan. cumaa yg disayangkan bawah linen (seprei) ada bercak coklat yg geeedeee bgtt dan dimana mana gitu kaya gk bersih / kenapa gak diganti ajaa gitu.. all menu sarapan enak rasanya. recomended jugs yg mau ke jogja cari hotel dekat tugu"
Ayu Rahma,3/5,3 tahun lalu di,Kamarnya bersih.. Bagus.. Cuma kurang kedap suara. Suara dari luar atau ruangan lain kedengeran dari dalam. Jadi berisik dan bikin susah tidur lelap. Semoga diperbaiki ya..
agus m,3/5,4 tahun lalu di,"Saya menginap hanya semalam di Jogjakarta dalam rangka singgah kembali setelah berlibur ke jawa Timur. Harga cukup murah namun lokasi cukup bagus. untuk ke malioboro bisa pakai becak motor dengan ongkos sekitar 20-30 ribu. Sarapan cukup enak, namun kasur sudah perlu diganti sepertinya, sudah tidak nyaman."
cindy elza,4/5,5 tahun lalu di,"hotel ini ada plus minusnya.
plusnya:
1. lokasi hanya 200 meter jalan kaki ke tugu dan 10 menit  jalan kaki ke …"
Muflihatul Husna,5/5,4 tahun lalu di,"Nyaman, bersih, asked mudah, Tapi paket toiletries kurang lengkap, tidak ada hair dryer, tidak ada tempat sepatu, ya mungkin sesuai harga juga :)"
r10_ rickardo,4/5,6 tahun lalu di,"Dekat dengan pusat kota, jika ingin ke malioboro bisa jalan kaki. Kamar yang tersedia lumayan nyaman, bisa melihat kota jogja dari jendela kamar, sesuai dengan budget. Sarapan pagi hari sudah lumayan enak namun perlu ditambah jenis makanannya."
ditia k,3/5,5 tahun lalu di,"Sarapannya tidak enak! Saya bisa dengar suara tamu lain dari dalam kamar, hotel budget sih ya.. harap maklum
Lokasi strategis, dekat dengan tugu jogja yang melegenda itu. …"
Indra Rahman MBA. CFP.,3/5,7 tahun lalu di,"Lumayan lah buat istirahat malam. Kalau pagi berisik banget 😂 apalagi kl ada tamu rombongan bus, hadeh. Dapet safe deposit box di kamar. Gada heater air teh/kopidi kamar, tp ada dispenser dekat lift …"
cut nurmaini,5/5,5 tahun lalu di,"Kebetulan saya ke Jogja kali ini lupa booking hotel sebelum berangkat, sampai di Jogja setelah keliling kota hanya utk cari hotel , semuanya penuh , satu hotel yang saya lewati adalah hotel citra dream, ternyata juga full, namun staff hotel …"
Harry Wicaksono,4/5,6 tahun lalu di,"Baik dan nyaman. Meski yang kamar standart smooking room jendela tidak bisa dibuka, dan exaust fan buat asap / bau hanya ada di kamar mandi saja. Jangan merokok klo masih bisa nahan, karena asap bakal lebih lama hilang."
Caesarani Lina Dwi Setyaning,5/5,3 tahun lalu di,"Hotelnya bersih, kamar, tempat tidur dan kamar mandi semuanya bersiihh..suasananya nyaman..tp lebih cenderung mirip sama hotel tetangganya P*p Hotel..sayang gak dapet sendal kamar ..dimaklumi mungkin efisiensi karena pandemi..overall suka laahh lumayan untuk yg sekelasnya..sukses teruuss"
Intan Rahayu,4/5,5 tahun lalu di,"Nyaman sekali menginap disini, suasana tenang.. Dekat dengan pusat kota, tempat liburan, mudah di jangkau dan dicari. Tempat bersih dan nyaman. Pelayanan ramah, servis cepat dan memuaskan.. Sayang wifi kurang kencang, sikat gigi handuk sandal hotel hanya untuk 1 tamu, chanel tv terbatas"
Aditya Eka,4/5,2 tahun lalu di,"Mantap. Karena di hotel ini favoritnya rombongan, alhasil gak bisa extend kalau weekend. Tapi ditawarkan titip barang di resepsionis sambil nunggu kereta malam. Thanks Citra Dreams."
ersan raka sanjaya,4/5,4 bulan lalu di,Selimut dan seprei mohon diperhatikan lg
Halla M,3/5,5 tahun lalu di,"Interior bagus, lobby juga bagus, cocok buat nerima tamu, tapi kesan pertama masuk kamar pengap bgt sih, sayangnya juga ac nya bau, kamar mandi juga agak sempit menurutku,airnya panas dingin kayak hatiku kalo liat kamu jalan sama pacarmu. …"
Bonardo Partogu Tarihoran,3/5,5 tahun lalu di,"Sampe 2 hari sabun di kamar lantai 7 tidak di isi ulang. Dri awal chekin udh kosong,besoknya make up room gk di isi ulang. Kasurnya terlalu empuk/kempes. Sarapan kurang variasi utk makanan berat nya."
onky rebel,2/5,setahun lalu di,"Parah kamarnya, suara dari luar masuk semua dari kamar sebelah pun sangat terdengar, bednya gembos, wkwk. Untung dekat dengan tugu. Yg lainnya minus"
Fahmi Adimara,4/5,7 tahun lalu di,"Tampak depan hotel ini menjulang megah, aksesnya sangat mudah karena terletak di pinggir jalan. Fasilitas full wifi, ada pilihan smoking room atau non smoking room dan dari dalam kamar kita bisa melihat pemandangan Kota Yogyakarta dari …"
jatu rama wijaya,1/5,2 bulan lalu di,Ac mati kamar 201
setiawan sigit,4/5,4 tahun lalu di,"Dear citra dream, kemarin saya pas kesini mungkin orang HK nya lupa buat check ato keburu buru check, kelupaan alat mandi sama handuk engga di set up di kamarmandi, dan udah terlanjur mandi akhirnya telp ke Recepsion, terus orang HK nya mau …"
Poerwo Aji,5/5,2 tahun lalu di,Nyaman.....tidurku pules  sampai mimpi  indah..tapi1 sabun mandi cairnya kurang greget  gak berbusa.......untuk2 selebihnya aku tersepona
Ahmad Indi Yulianto,5/5,4 tahun lalu di,"(+) Lokasi mudah ditemukan. Check in cepat. Kamar bersih , nyaman, dan modern. Semua fasilitas kondisi baik. Pelayanan room service oke. Harga terjangkau …"
hfirdy hfirdy,5/5,5 tahun lalu di,"Best Option for Budget Traveler !

Citradream Yogyakarta ini adalah hotel Citradream pertama yang saya tinggali, …"
Bagus Fibrianto,5/5,5 tahun lalu di,"Hotelnya bagus, nyaman, dan pelayanannya juga ramah. Maknanan tidak terlalu mahal dan rasanya enak. Ukuran kamar juga lumayan lega. Tapi suara ruangan kurang kedap, kadang terdengar suara pintu, tv, atau air dari ruang lain. Overall bagus deh."
Dewy Shinta,5/5,4 tahun lalu di,Affordable price. Utk kamar jauh lbh baik citradream dibanding pop hotel. Makanan standar. Disediakan dispenser jadi bs isi ulang air minum. Lokasi sangat strategis hanya 1 km dr beringharjo dan malioboro
Muhammad Farid Hakim,5/5,2 tahun lalu di,"Pengalaman terbaik menginap di citradream, dapet kamar paling atas dengan view pemandangan kota. Pelayanan dari staf hotel terbaik, ramah, helpful, dan protokol kesehatan diterapkan dengan baik. Akomodasi ini cocok buat staycation atau work from hotel, dengan budget murah bisa merasakan kenyamanan terbaik"
Darya Cahyadi,4/5,2 tahun lalu di,"4 malam untuk urusan dinas. pelayanan responsif. Strategis ke tempat wisata, area kerja, dan tempat makan.
Kasih 4 bintang. Karena 1 bintangnya lagi minus di suara kamar sebelah terdengar. Oh no..."
Nak ji Nak beh,5/5,4 tahun lalu di,"Sangat bagus. Pelayanan dan fasilitas memuaskan, mungkin kecepatan wifi saja perlu di tambah. Sempat terlambat untuk check out namun masih diperbolehkan untuk mengambil barang di dalam kamar."
Maharani Ratna,2/5,2 tahun lalu di,"kamar mandi kurang bersih, selimut dan bantal warna putihnya mangkak, bantal kempes, ketika menyampaikan keluhan ke bagian resepsionis malah resepsionis tidak meminta maaf, justru membela diri."
arya perdhana,5/5,5 tahun lalu di,"value for money banget nih hotel. lokasi strategis, cuma 200 meter dari Tugu. buat dapat Gocar/Grabcar juga mudah. meski kamarnya agak kurang kedap suara, tapi bisa dimaklumi lah."
Wilson,3/5,5 tahun lalu di,Budget hotel milik group Ciputra yang berada di lokasi strategis dekat Tugu dan berbagai tempat kuliner lokal. Ukuran kamar agak kecil dan kasur terlalu lembek. Tapi ya sesuailah dengan rate harga di bawah 400 ribu. Cocok bagi yang budget terbatas atau keperluan dinas kantor.
Prasetyo Budi Widagdo,5/5,4 tahun lalu di,Terletak di lokasi yang strategis di tengah-tengah kota Jogja. Hotel berkualitas dengan harga yang relatif bersahabat di kantong. Kualitas pelayanan sangat baik sama seperti hotel citradream yang pernah saya kunjungi di Semarang dan Cirebon. Pokoknya sangat recommended buat hotel ini.
randy sepasaci,5/5,setahun lalu di,"Dari beberapa hotel yang disinggahi selama dijogja makanan diresto hotel ini yang paling berasa dari rasanya,mantap pertahankan"
Anggita Rahma,5/5,2 tahun lalu di,"Hotel yang nyaman, kamar rapi, AC kenceng, WiFi kenceng, chek in juga cepat, lokasi juga strategis, dekat dengan tugu Yogyakarta (bisa jalan kaki), Malioboro (lumayan kalo jalan kaki), …"
agus asr,4/5,5 tahun lalu di,Kamar nya Bagus nyaman view dari lantai atas nya bagus bisa liat sunset juga mantep deh kalo proses checkin & checkout juga cepat tapi sayang nya enggak ada pemanas air di room nya sama shampo sama sabun nya hampir habis enggak diisi ulang sma pegawai nya selebih nya sih oke2 aja
Silvia Nora,4/5,3 tahun lalu di,"Deket bgt sama tugu jogja bisa jalan kaki, cocok buat nginep bagi yg maj jalan” sekitaran jogja karna deket kemana”. Sup jagungnya enak 👏🏻 pelayanan baik, kamar standar. Fyi aku pesen kamar superior di lantai 7 jadi view nya bisa liat kota jogja. …"
Aris Fadilah,3/5,3 tahun lalu di,Lumayan Bagus temptnya karna berada d lokasi strategis dkt dengan malioboro.staf juga ramah.hanya sayang parkir mobil agak smpit.untuk makan tidak trlalu sulit karna banyak warung makan d depan hotel
Evan Gomet,1/5,6 tahun lalu di,"Sprei kotor, bantal lepek, kasur lembek bikin sakit badan, handuk lusuh dan kotor. Di lobby tdk ada toilet, parkir sempit. Harga tdk murah jg. Keuntungan : hanya dekat dgn  tugu."
Budi Prihartono,2/5,setahun lalu di,fasilitas kamar hotel banyak rusak dan waktu sarapan mau pesan omelet tidak ada telur
The Baking Republic,4/5,5 tahun lalu di,"Great budget hotel. Bersih, nyaman, ac dingin (kamar 707). Ada water dispenser di setiap lorong, gampang untuk refill air minum kalau kehabisan. Dekat dengan Tugu, tidak susah cari makanan, ada penjual mendoan di sebrang hotel."
Tengku Iswandi,1/5,2 tahun lalu di,Resepsionisnya ga konfom dl ke pada tamu. Mau di perpanjang ato ga. Tolong jaga kualitas servis nya. Jangan mentang2 weekend seperti itu. Jadikanlah masa covid pelajaran back kita semua. Jadi prioritaskan pelayanan. Jangan nanya bicara keuntungan semata.
Michael Tanu,4/5,7 tahun lalu di,"Untuk letak hotel ini sangat strategis, untuk menuju tugu dan malioboro dapat dilakukan dengan berjalan kaki,,, …"
Rifqi Al Abror,5/5,4 tahun lalu di,"Room small, but so nice...Memperhatikan sudut2 kecil semaksimal mungkin :)
Rekomendasi bgt, karena dekat banget dengan Tugu Jogja
Pas malam juga banyak orang jualan sekitar hotel ♡♡"
Bobi Sancez,5/5,3 tahun lalu di,"Maaf Ga sempet ambil foto hotelnya.

saya baru review stelah bbrapa bulan, Yang jelas Saya suka nginep disini. Jalan- …"
Travelingbae,4/5,6 tahun lalu di,"Letaknya sangat strategis, dekat dengan Tugu Jogja dan Pasar Kranggan. Gampang kalau mau pergi kemana-mana.
Ruangan kamar tidak terlalu besar tapi cukup nyaman dan bersih.
Sesuai dengan harga yang kita bayarkan."
Gisela Rieka (Rieka),4/5,5 tahun lalu di,"Lobby nya tertata apik, ada sudut hijaunya dekat reception jadi tidak bosan atau jenuh berada disini, akses menuju kamar juga mudah. Ada yang unik di hotel ini, tiap kamar dilengkapi dengan alarm ketika kita menutup kamar dengan tidak benar/tidak betul-betul rapet. Hal kecil yangemberikan kita rasa aman tinggal disini."
Esa Hilma Aulia,4/5,6 tahun lalu di,"Hotelnya sangat rapi dan bersih. Aksesnya juga sangat mudah. Agak jauh dari lokasi keramaian, jadi sangat cocok untuk anda yang ingin beristirahat di tempat yang tidak bising. …"
Siti Wilda,5/5,setahun lalu di,"Kesini pas famgath. Tempatnya enak, bersih,  cukup luas jadi leluasa untuk menyimpan barang"
Syaiful Anies,4/5,3 tahun lalu di,"Tempatnya lumayan bersih , nyaman, air panas nya mantap selalu tersedia , parkir cukup luas , harga nya masih dalam tingkat wajar , strategis dan mudah di jangkau"
Han Dika,3/5,4 tahun lalu di,"lumayan bagus lah,tapi sayang saat kita msh tdr ada room boy yg bs buka kamar dr luar dg alasan kmr mau di bersihkan.... tolong ini pihak manageman unk memberi teguran.. di hotel bintang gak pernah sampai terjadi seperti itu..."
Yunita Nuranggraeni,5/5,3 tahun lalu di,"Bersih, murah, nyaman.. utk kamar tidak ada peredam suara shg suara dr luar terdengar di kamar  utk acnya dingin banget berasa tidur di frezer"
Benny G,4/5,5 tahun lalu di,Hotel ini:||- cukup nyaman ||- posisi asik banyak kuliner n deket ke malioboro||- agak berisik dari dalam kamar orang jalan aja gludak gluduk kedengeran bgt||- sarapan lumayan||- kebersihan agak kurang (semoga manajemen dengar)||- water heater cakep||- harga masih masuk akal
Rosna Then,3/5,6 tahun lalu di,"Hotel kecil dan nyaman ditengah kota. Sangat dekat ke Tugu Yogyakarta, ke Gudeg Bu Djuminten, Malioboro, Keraton dan lainnya. Juga dekat dari stasiun kereta Tugu. …"
Eva Lim,1/5,5 tahun lalu di,"Tempat tidur alias ranjang nya jeblos, lembek, gak seperti hotel-hotel budget pada umum nya yg saya pernah pakai menginap. Ini sih kaget banget kami waktu pertama sampe kamar dan duduk di atas ranjang nya.
Selimut nya juga berbercak dan bernoda di beberapa titik."
Dino Rahardja,4/5,4 tahun lalu di,"Hotel yg cukup nyaman utk bermalam. Fasilitas cukup baik sesuai dgn harga hotel ini. Utk breakfast cukup bervariasi.
Cuman, utk compliment dlm kamar spt kopi dan teh tidak tersedia."
rio subekti,1/5,setahun lalu di,"Freon ac abis selama 6 jam, tap kartu untuk masuk kamar rusak jadi harus manual"
Purwani Ramadhani Wulansari,5/5,3 tahun lalu di,"Hotelnya berada di dekat tugu jogja, harganya bersahabat... kamar bersih, air lancar.. wifi lancar... sayangnya pintu kurang kedap, jadi saat ada yg lewat depan kamar suaranya terdengar jelas smp di dalam kamar..."
anicka tamaya,5/5,5 tahun lalu di,Beberapa kali saya berkunjung dan menginap di hotel citradream sangat puas..  Hotelnya bersih kamar juga elegan dengan view merapi.. Kamar mandi jg oke gak pernah ada masalah..  Selalu jd hotel andalan untuk menginap jika ke jogja
tansu annette,5/5,3 bulan lalu di,Cukup tenang dan dekat dengan kota
Zakiyah Bafagih,4/5,5 tahun lalu di,"Hotelnya standart sih, AC kamarnya suka bunyi jadi agak serem gitu, terus nggak ada arah kiblat padahal mayoritas penduduk Indonesia itu muslim jadi menurut saya seharusnya di setiap kamar ada arah kiblat"
Anton Iwan,5/5,3 tahun lalu di,"Mantap kali 👍
kamar, tmpat tidur, kamar mandi, tv & kebersihan kamarnya sangat luar biasa 👍
harga jg cukup ekonomis dan berani bersaing dgn yg lain 👍 …"
Desmayu,5/5,4 tahun lalu di,"Hotel tepat dipinggir jalan besar, kamarnya nyaman, pelayanan ok, stafnya ramah, deket juga kalau mau ke malioboro naik grab hnya 10rb 😁 depan hotel ada sekolahan jd klo pagi agak ramai jalannya dan sedikit padet dijam sekolah 🤗 menu sarapan enak, tpi ruang utk makannya agak kecil 👍 …"
Bebe Cell,4/5,5 tahun lalu di,"Letaknya sangat strategis. Saya menginap beberapa kali mendapat kamar yang bersih, kamar mandi juga bersih. Staf sangat ramah. Sayang parkirannya sempit, kamarnya juga tdk cukup luas."
Mohammad Husein,4/5,5 tahun lalu di,"Lumayan buat istirahat. Tp kmren dapat kamar yang mesin acnya pas d luar kamar, jadi suaranya degung, ganggu  banget. Tp pihak hotel membolehkan buat ganti kamar. Mayanlah"
Rohmad Efendi,3/5,6 tahun lalu di,"Harga sesuai dengan fasilitas, kasur agak amblas kalo dipakai, kamar tidak kedap suara, AC sangat dingin, WiFi standart, namun pelayanan oke, staff ramah, letak strategis, parkir juga selalu dipandu oleh security, cocok untuk anda yang mementingkan budget"
fenska sipahelut,2/5,2 tahun lalu di,"Orngx di sana baik, lembut,dan ramah,tpi hotelx yg kurng baik.  Kenp?karna fasilitas di dlm kamr hotlx tdk baik dlm hal ini ,kasurx yg agak kotor ,dan dlm ruanganx juga bau rokok ,dan tdk ad pewangi ruangan ,"
Irchamna Chamalia,4/5,3 tahun lalu di,"di masa pandemi gini kita bakal worry kalau mau nginep di hotel tapi baru di hotel ini nemuin kaya gini.. kita bisa pakai barang2nya dan tau kalo udah di sterilisasi, ah ga tau dah ini siapa yang punya ide, keren bangeett.. tapi sayangnya AC nya ga dingin.."
Fitri Kumalasari,2/5,4 tahun lalu di,Di koridor lantai 2 atau entah di ruangan sebelahnya berisik banget. Mengganggu tamu yg mau Istirahat. Berarti bangunan gak kedap suara. Interior ruangan terlalu biasa untuk harga di atas biasa.
Miann Julianty,5/5,setahun lalu di,"Hotel nya enak, bersih, fasilitas nya juga sesuai sama yang dipesan, bisa ngeliat view dari atas"
Devi Erika,4/5,2 tahun lalu di,"Terletak di pusat kota...Lumayan oke serta bersih  hotelnya, pelayanan juga memuaskan, hanya gak dapet kopi ataupun teh"
Puteri intan95,5/5,3 tahun lalu di,"Memilih Hotel Citra Dream saat berkunjung ke Yogyakarta karena pernah mencoba menginap di Hotel Citra Dream Semarang dan pelayanannya sama ,  sangat ramah , kamar oke , bisa mandi air hangat , wifi kencang , terus harganya murah tapi …"
Arief Wibowo,4/5,6 tahun lalu di,"Bagus utk setaraf hotel budget, citradream aman di kantong. Kebersihan cukup baik, BF yaa oke,, ada bbrp pilihan makanan. Staf helpfull, lokasi strategis, dan pelayanan tanpa ribet, cuma kamar kurang kedap suara.  Selebihnya okee saja"
Rental mobil Dan motor,5/5,8 bulan lalu di,Pokoke bintaang full... Soalnya tamunya banyak menggunakan jasa kita hihi
mustofa alam,2/5,setahun lalu di,"Kamarnya lumayan tapi, ketika saya check in ternyata kamar yang saya tempati belum dibersihakan ataupun disiapkan oleh pegawainya"
Erich P,2/5,5 tahun lalu di,"Kami datang untuk cek in malam ,sekitar jam 7/8, begitu kami masuk u cek in, kami menjumpai kecoa 2 kecil berkeliaran di lantai. UNTUNGNYA kami di antar satpam u membawakan tas2 kami. Setelah di laporkan ke resepsionis kami mendapat kamar …"
SEKAR AYU RARASATI,5/5,6 tahun lalu di,"Over all bagus sekali. Untuk pelayanannya juga baik dan sangat ramah, makanannya juga lumayan oke.. lokasi yang sangat strategis.. dengan harga yang terjangkau hotel ini sangat recommended sekali untuk kawan semua"
